"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1480","新北市工商展覽中心","28","1","五股區","20240523190944","25.064345","121.447585","五工六路35號(對面)","Wugu Dist.","New Taipei City Exhibition Hall","No.35, Wugong 6th Rd., Wugu Dist.","25","1"
"1481","金城裕民路口(中正國中)","10","2","土城區","20240523190916","24.982933","121.456229","金城路二段218號(對面)","Tucheng Dist.","Gincheng & Yumin Intersection(Zhing Zheng Junior High School)","No.218, Sec. 2, Jincheng Rd., Tucheng Dist.","8","1"
"1483","海洋公園","22","1","三峽區","20240523190936","24.947490","121.376895","大義路/學勤路口(西北側)","Sanxia Dist.","Ocean Park","Dayi Rd. / Xueqin Rd., Sanxia Dist.","21","1"
"1484","浮洲合宜住宅(合宜一路)","30","0","板橋區","20240523190920","24.996520","121.442760","大觀路二段265巷/合宜一路(東南側)","Banqiao Dist.","Fuzhou Appropriate House ( Heyi 1st. Road )","Aly. 265, Sec. 2, Daguan Rd./Heyi 1st Rd., Banqiao Dist.","30","1"
"1486","臺北大學(資訊中心)","26","18","三峽區","20240523190934","24.943170","121.369520","大學路151號(資訊中心旁)","Sanxia Dist.","NTPU(Computer Center)","No.151, Daxue Rd., Sanxia Dist.","8","1"
"1488","新莊田徑場","18","0","新莊區","20240523190926","25.043570","121.452440","復興路一段209號 (對面)","Xinzhuang Dist.","Xinzhuang Stadium","No.209, Sec. 1, Fuxing Rd., Xinzhuang Dist.(opposite)","18","1"
"1489","新泰國中","10","0","新莊區","20240523190939","25.042880","121.444260","新泰路359號(旁)","Xinzhuang Dist.","Xintai Junior High School","No.359, Xintai Rd., Xinzhuang Dist.","10","1"
"1491","山佳火車站","22","1","樹林區","20240523190944","24.972220","121.392640","中山路三段108號","Shulin Dist.","Shanjia Railway Station","No.108, Sec. 3, Zhongshan Rd., Shulin Dist.","20","1"
"1492","新北市勞工活動中心","18","4","五股區","20240523190934","25.061490","121.450980","五工六路9號(前廣場)","Wugu Dist.","New Taipei City Labor Activity Center","No.9, Wugong 6th Rd., Wugu Dist.","14","1"
"1497","中港大排願景館","10","0","新莊區","20240523190930","25.058940","121.451170","中央路301號(對面)","Xinzhuang Dist.","Zhonggang Vision Hall","No.301, Zhongyang Rd., Xinzhuang Dist.(opposite)","10","1"
"1498","頭前國小","24","2","新莊區","20240523190930","25.052480","121.465270","頭前路93號(對面)","Xinzhuang Dist.","Touqian Elementary School","No.93, Touqian Rd., Xinzhuang Dist.(opposite)","22","1"
"1505","員和公園","10","1","土城區","20240523190919","24.979040","121.442540","中央路二段66號(對面)","Tucheng Dist.","Yuanhe Park","No.66, Sec. 2, Zhongyang Rd., Tucheng Dist.(opposite)","9","1"
"1508","新莊國民運動中心","10","1","新莊區","20240523190939","25.039610","121.449620","公園路66號(對面)(鄰近新莊綜合運動場)","Xinzhuang Dist.","Xinzhuang Civil Sports Center","No.66, Gongyuan Rd., Xinzhuang Dist.(opposite)","9","1"
"1510","三鶯國民運動中心停車場","10","7","三峽區","20240523190917","24.936140","121.369410","文化路164號(旁)(鄰近三峽清水祖師廟/三峽歷史文物館/三峽老街)","Sanxia Dist.","Sanying Civil Sports Center","No.164, Wenhua Rd., Sanxia Dist.","3","1"
